batalhao,exoneracoes,demissoes,requeridas_2025,requeridas_2026,requeridas_total,movimentacoes_saldo,situacao_media,deficit_situacional,reestruturacao_interior_litoral,necessidade_de_efetivo
1º BPM,0,6,14,3,17,23,0,0,,0
2º BPM,4,3,25,10,35,28,-14,14,,14
3º BPM,2,3,13,5,18,3,-20,20,,20
4º BPM,3,5,17,7,24,0,-32,32,,32
5º BPM,1,3,11,3,14,-9,-27,27,,27
6º BPM,1,13,13,2,15,4,-25,25,,25
7º BPM,0,3,9,6,15,3,-15,15,,15
8º BPM,3,6,3,4,7,-23,-39,39,,39
9º BPM,0,7,13,4,17,29,5,0,,0
10º BPM,0,4,10,4,14,18,0,0,,0
11º BPM,0,4,23,10,33,-2,-39,39,,39
12º BPM,9,8,4,1,5,-37,-59,59,,59
13º BPM,1,3,5,1,6,11,1,0,,0
14º BPM,1,9,8,0,8,6,-12,12,,12
15º BPM,3,2,5,4,9,-1,-15,15,,15
16º BPM,2,5,6,4,10,3,-14,14,,14
17º BPM,2,12,7,1,8,-4,-26,26,,26
18º BPM,3,11,8,2,10,8,-16,16,,16
19º BPM,4,8,5,3,8,13,-7,7,,7
20º BPM,3,8,9,3,12,4,-19,19,,19
21º BPM,1,5,9,3,12,3,-15,15,,15
22º BPM,1,4,4,3,7,-10,-22,22,,22
23º BPM,1,6,7,3,10,-8,-25,25,,25
24º BPM,1,9,9,7,16,-4,-30,30,,30
25º BPM,5,3,8,1,9,-1,-18,18,,18
26º BPM,1,6,6,0,6,-9,-22,22,39,61
27º BPM,0,2,9,4,13,-3,-18,18,62,80
28º BPM,0,4,9,3,12,5,-11,11,94,105
29º BPM,1,1,16,2,18,0,-20,20,31,51
30º BPM,1,1,13,1,14,6,-10,10,37,47
31º BPM,2,0,1,0,1,12,9,0,75,75
32º BPM,0,1,9,1,10,9,-2,2,11,13
33º BPM,1,4,7,2,9,12,-2,2,109,111
34º BPM,5,1,5,3,8,1,-13,13,45,58
TOTAL,62,170,320,110,430,90,-572,587,503,1090
