batalhao,viaturas_conectadas,drso_excluidas,viaturas_contabilizadas,motos,total_contabilizado
1º BPM,13,0,13,0,13
2º BPM,20,0,20,0,20
3º BPM,21,0,21,1,22
4º BPM,12,0,12,0,12
5º BPM,6,2,4,0,4
6º BPM,7,0,7,0,7
7º BPM,20,1,19,0,19
8º BPM,8,1,7,2,9
9º BPM,16,0,16,0,16
10º BPM,10,0,10,0,10
11º BPM,25,1,24,0,24
12º BPM,12,1,11,2,13
13º BPM,10,0,10,0,10
14º BPM,20,0,20,0,20
15º BPM,11,1,10,0,10
16º BPM,11,3,8,4,12
17º BPM,12,1,11,1,12
18º BPM,10,0,10,2,12
19º BPM,9,1,8,3,11
20º BPM,9,2,7,0,7
21º BPM,8,2,6,0,6
22º BPM,8,2,6,1,7
23º BPM,16,0,16,0,16
24º BPM,7,2,5,1,6
25º BPM,8,0,8,0,8
TOTAL,309,20,289,17,306
